acumen	 =	awareness	brilliance
reverence	 =	respect	esteem
rout	 =	vanquish	overthrow
rustic	 =	rural	uncivilized
ruthless	 =	remorseless	inhumane
sacred	 =	cherish	divine
savage	 =	wild	untamed
startled	 =	frightened	shocked
steep	 =	course	lofty
stranger	 =	immigrant	guest
sublime	 =	magnificent	eminent
succinct	 =	concise	terse
sympathy	 =	tenderness	harmony
system	 =	scheme	entity
sarcastic	 =	ironical	derisive
saucy	 =	impudent	insolent
shrewd	 =	cunning	craftly
scanty	 =	scarce	insufficient
servile	 =	slavish	docile
shabby	 =	miserable	impoverished
slander	 =	defame	malign
sneer	 =	mock	scorn
solicit	 =	entreat	implore
subterfuge	 =	deceit	stratagem
stain	 =	blemish	tarnish
spurious	 =	fake	counterfeit
sporadic	 =	intermittent	scattered
spry	 =	nimble	brisk
squalid	 =	dirty	filthy
successful	 =	propitious	felicitous
sterile	 =	barren	impotent
stupor	 =	lethargy	unconsciousness
subsequent	 =	consequent	following
substantial	 =	considerable	solid
subvert	 =	demolish	sabotage
superficial	 =	partial	shallow
sycophant	 =	parasite	flatterer
taboo	 =	prohibit	ban
taciturn	 =	reserved	silent
tedious	 =	wearisome.	irksome
temperate	 =	cool	moderate
tenement	 =	apartment	digs
tenacious	 =	stubborn	dodge
throng	 =	assembly	crowd
timid	 =	diffident	coward
tranquil	 =	peaceful	composed
transient	 =	temporal	transitory
trenchant	 =	assertive	forceful
treacherous	 =	dishonest	duplicitous
trivial	 =	trifling	insignificant
tumultuous	 =	violent	riotous
tyro	 =	beginner	riotous
tame	 =	compliant	subdued
terse	 =	incisive	compact
thick	 =	chunky	massive
thrifty	 =	frugal	prudent
tranquil	 =	amicable	calm
transparent	 =	diaphanous	
tremble	 =	vibrate	
uncouth	 =	awkward	ungraceful
utterly	 =	completely	entirely
umbrage	 =	chagrin	offense
uncouth	 =	boorish	clownish
urchin	 =	foundling	orphan
urge	 =	incite	implore
vain	 =	arrogant	egoistic
vagrant	 =	wander	roaming
valor	 =	bravery	prowess
vanity	 =	conceit	pretension
venerable	 =	esteemed	honored
venom	 =	poison	malevolence
veteran	 =	ingenious	experienced
vicious	 =	corrupt	obnoxious
vigilant	 =	cautious	alert
vivacious	 =	spirited	energetic
vilify	 =	malign	slur
vouch	 =	confirm	consent
virtue	 =	ethic	morality
vivid	 =	eloquent	lucid
waive	 =	relinquish	remove
wan	 =	pale	faded
wane	 =	decline	dwindle
wary	 =	cautious	circumspect
wed	 =	marry	combine
wicked	 =	vicious	immoral
wield	 =	exert	employ
wile	 =	trickery	artifice
winsome	 =	beautiful	comely
wilt	 =	wither	perish
yell	 =	shout	shriek
yield	 =	surrender	abdicate
yearn	 =	languish	crave
yoke	 =	connect	harness
zeal	 =	eagerness	fervor
zenith	 =	summit	apex
zest	 =	delight	enthusiasm
zig-zag	 =	oblique	wayward
